Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Classification
5 Series,2016,Asia,Red,Petrol,Manual,3.5,151748,98740,High
i8,2013,North America,Red,Hybrid,Automatic,1.6,121671,79219,Low
5 Series,2022,North America,Blue,Petrol,Automatic,4.5,10991,113265,Low
X3,2024,Middle East,Blue,Petrol,Automatic,1.7,27255,60971,Low
7 Series,2020,South America,Black,Diesel,Manual,2.1,122131,49898,Low
5 Series,2017,Middle East,Silver,Diesel,Manual,1.9,171362,42926,Low
i8,2022,Europe,White,Diesel,Manual,1.8,196741,55064,High
M5,2014,Asia,Black,Diesel,Automatic,1.6,121156,102778,Low
X3,2016,South America,White,Diesel,Automatic,1.7,48073,116482,High
i8,2019,Europe,White,Electric,Manual,3.0,35700,96257,Low
3 Series,2012,Middle East,White,Electric,Manual,2.4,101595,117995,Low
i8,2016,North America,Blue,Hybrid,Manual,1.9,116863,74539,High
7 Series,2020,North America,Silver,Diesel,Automatic,3.8,27403,100015,High
5 Series,2020,Africa,White,Electric,Manual,2.3,163444,119486,Low
X1,2017,Asia,Black,Electric,Automatic,1.6,107918,34078,High
M3,2014,North America,Silver,Hybrid,Manual,3.0,154050,94997,High
X5,2013,Asia,Blue,Electric,Manual,2.6,110142,114844,Low
M5,2017,North America,Red,Diesel,Automatic,2.6,86900,81934,High
5 Series,2017,North America,Silver,Electric,Manual,3.1,57843,111326,Low
X5,2012,Africa,Blue,Electric,Manual,3.8,142243,82677,High
X3,2015,North America,Red,Diesel,Automatic,3.7,123910,88091,High
X1,2014,Africa,White,Petrol,Manual,4.8,13568,62941,Low
M5,2011,Europe,Grey,Electric,Automatic,3.3,78042,49507,High
7 Series,2017,North America,Black,Petrol,Automatic,3.2,58288,101791,High
X5,2021,South America,Red,Diesel,Manual,2.2,184981,47527,Low
X3,2023,Middle East,White,Electric,Automatic,4.1,194398,85370,Low
M3,2015,Asia,Red,Hybrid,Manual,2.0,41514,116902,High
X1,2011,North America,Black,Hybrid,Automatic,3.2,104742,107465,Low
M5,2021,Asia,Red,Hybrid,Automatic,3.0,105162,32076,High
M3,2014,Asia,White,Electric,Automatic,3.8,90282,64049,Low
i8,2010,South America,Black,Hybrid,Automatic,4.7,16020,102215,Low
i8,2021,South America,Silver,Diesel,Manual,4.8,3188,64577,Low
M5,2019,Asia,Red,Diesel,Manual,2.1,97294,53277,Low
i8,2015,Asia,White,Hybrid,Automatic,2.4,194395,118788,Low
X1,2022,Middle East,Grey,Hybrid,Manual,4.3,143013,116432,Low
M5,2021,South America,Grey,Petrol,Automatic,3.3,88342,108240,Low
X3,2018,Middle East,White,Petrol,Manual,3.1,33370,52717,High
i8,2010,Middle East,Grey,Petrol,Automatic,4.0,98514,37949,Low
M3,2020,Africa,Black,Petrol,Manual,3.6,82668,86748,Low
X5,2020,Middle East,White,Hybrid,Automatic,4.9,132299,35401,High
i3,2024,Middle East,Red,Petrol,Automatic,3.5,135958,69578,Low
M5,2019,South America,White,Diesel,Manual,3.1,192690,37177,Low
X5,2021,Africa,Red,Diesel,Manual,3.4,99697,60278,Low
X5,2021,Middle East,Black,Petrol,Automatic,4.3,44279,96256,High
X5,2024,South America,Black,Hybrid,Manual,3.6,111661,82675,Low
i8,2023,Europe,Blue,Diesel,Automatic,3.8,78573,118317,High
i3,2023,North America,Silver,Petrol,Automatic,4.9,94453,79039,High
5 Series,2024,Asia,Blue,Electric,Manual,3.7,157789,86855,Low
X6,2023,Africa,White,Hybrid,Automatic,2.8,84367,112542,High
i3,2012,Asia,White,Hybrid,Manual,3.9,193905,93508,High
X3,2021,Asia,Silver,Hybrid,Automatic,3.8,57759,119692,Low
M3,2016,Africa,Black,Hybrid,Manual,1.5,113832,49278,Low
i8,2013,Middle East,White,Petrol,Manual,3.1,42427,44269,Low
i3,2018,South America,Red,Petrol,Manual,4.1,1428,46127,Low
i8,2012,Middle East,Red,Diesel,Automatic,3.2,110845,100747,Low
M5,2014,South America,Red,Electric,Automatic,4.2,125379,96739,Low
X5,2012,Middle East,Black,Petrol,Manual,3.1,107014,57537,Low
X6,2016,South America,Silver,Hybrid,Automatic,4.9,180186,46263,High
M3,2014,Europe,Red,Electric,Manual,2.5,74474,65464,High
3 Series,2018,Africa,Black,Electric,Manual,1.8,117061,54762,Low
M3,2016,South America,Grey,Electric,Automatic,3.0,102675,93915,High
X6,2011,Middle East,Blue,Diesel,Automatic,3.4,27706,117237,Low
i8,2013,South America,Black,Diesel,Manual,2.7,150761,34193,Low
X6,2018,Asia,Red,Electric,Manual,2.3,10027,89970,Low
3 Series,2021,North America,Black,Hybrid,Automatic,3.9,87632,65089,Low
3 Series,2023,Europe,Black,Electric,Manual,2.8,128295,86402,Low
M3,2011,Asia,Red,Diesel,Automatic,3.7,40915,44322,Low
X3,2019,Asia,Silver,Electric,Automatic,4.2,88705,111352,Low
7 Series,2018,Middle East,Blue,Petrol,Manual,4.2,94859,50620,Low
3 Series,2019,South America,Silver,Hybrid,Manual,2.8,193021,44950,Low
X6,2014,Europe,Grey,Diesel,Manual,3.5,178427,101523,High
5 Series,2011,Middle East,Red,Hybrid,Automatic,3.1,139212,31815,Low
7 Series,2013,Asia,Red,Hybrid,Manual,4.5,144832,118363,Low
i3,2021,South America,Red,Electric,Manual,4.6,107985,43355,Low
X1,2024,Europe,Red,Petrol,Automatic,2.7,24141,84346,Low
i3,2021,North America,Silver,Electric,Automatic,1.8,112862,66155,Low
X1,2016,Europe,Black,Petrol,Manual,2.1,37975,101753,Low
X3,2021,North America,Grey,Electric,Manual,2.8,75480,68274,Low
X3,2022,Middle East,Grey,Petrol,Manual,3.5,52217,78144,High
M3,2017,North America,Grey,Hybrid,Automatic,3.8,24291,87604,High
M5,2024,North America,Black,Diesel,Manual,2.7,143885,90388,High
7 Series,2012,South America,Silver,Petrol,Manual,3.8,93073,102551,Low
7 Series,2023,North America,Grey,Diesel,Automatic,4.8,64153,117121,Low
X6,2010,Europe,Red,Hybrid,Manual,3.8,128477,68106,Low
i8,2013,Middle East,Grey,Petrol,Manual,2.1,119491,78729,High
M5,2011,North America,Grey,Hybrid,Automatic,3.5,94375,71912,Low
M5,2017,South America,White,Petrol,Manual,3.4,190609,94286,Low
X6,2013,South America,White,Hybrid,Manual,4.5,94915,50923,High
i8,2011,Middle East,Grey,Diesel,Automatic,2.7,144698,37887,Low
X3,2023,Europe,Red,Hybrid,Manual,3.0,12922,101473,High
i8,2015,Middle East,Black,Electric,Manual,3.6,46176,96965,Low
X5,2015,Middle East,Black,Hybrid,Automatic,3.3,121271,76799,Low
X3,2019,North America,Silver,Hybrid,Automatic,4.0,189804,119927,Low
i3,2013,Africa,Black,Diesel,Manual,1.6,192509,72385,Low
i3,2015,Asia,Silver,Electric,Manual,3.5,68161,63696,High
X6,2022,Asia,White,Electric,Manual,1.9,182027,35951,Low
X5,2024,Asia,Blue,Hybrid,Automatic,2.6,120597,95900,High
i8,2011,Europe,Red,Hybrid,Automatic,3.8,184765,44846,Low
X5,2019,Africa,Blue,Electric,Manual,2.1,161177,95908,Low
X1,2021,Asia,Silver,Diesel,Manual,2.6,84621,119897,Low
3 Series,2011,Middle East,Red,Hybrid,Automatic,4.0,22280,55612,Low
M5,2019,Europe,Black,Diesel,Manual,3.8,127689,72188,Low
i3,2023,Africa,Grey,Hybrid,Manual,1.8,73990,89587,Low
M5,2013,Asia,Red,Diesel,Automatic,3.5,17838,46231,High
X1,2023,Middle East,Silver,Diesel,Manual,2.0,172729,85801,High
7 Series,2024,North America,Grey,Electric,Manual,2.4,80659,92213,Low
7 Series,2024,Africa,Blue,Diesel,Automatic,3.1,132686,42013,High
i8,2017,Asia,Grey,Petrol,Automatic,1.9,146940,50942,Low
7 Series,2023,Europe,Red,Electric,Manual,5.0,50602,83812,Low
7 Series,2016,Africa,Grey,Petrol,Automatic,2.1,49521,93993,High
X3,2021,Africa,Blue,Electric,Automatic,4.2,169825,30158,High
i8,2018,Europe,Black,Petrol,Automatic,4.4,193467,102279,High
i3,2023,North America,Silver,Electric,Manual,5.0,190643,36081,Low
7 Series,2017,Middle East,Grey,Petrol,Automatic,3.0,112754,93431,High
M3,2014,Middle East,Blue,Diesel,Manual,4.6,42711,40950,High
i8,2022,South America,Grey,Diesel,Automatic,4.9,103105,66212,Low
5 Series,2011,Europe,White,Petrol,Automatic,2.1,146963,90224,Low
3 Series,2024,South America,Grey,Hybrid,Automatic,3.2,144152,49557,Low
X6,2014,Europe,Blue,Diesel,Automatic,1.7,105592,100663,High
X5,2017,South America,Grey,Petrol,Manual,3.7,31779,83059,Low
M5,2019,Asia,Blue,Petrol,Manual,3.5,154626,45389,High
X6,2018,North America,Red,Diesel,Automatic,2.2,162862,36520,Low
3 Series,2021,Africa,Grey,Diesel,Manual,4.3,170208,40194,Low
5 Series,2021,Asia,Blue,Electric,Manual,1.6,140059,82668,Low
X3,2021,Middle East,Grey,Electric,Automatic,4.3,63050,107348,Low
7 Series,2022,North America,Silver,Petrol,Automatic,1.6,123623,52099,Low
X5,2018,Middle East,Black,Petrol,Manual,3.8,159629,117084,Low
M3,2022,Asia,Blue,Diesel,Manual,1.8,189688,38811,High
X6,2024,North America,White,Petrol,Manual,2.4,120004,109733,High
X3,2022,Asia,Black,Diesel,Manual,4.0,160878,53997,Low
i8,2010,North America,White,Electric,Automatic,2.5,75457,101282,High
5 Series,2018,Middle East,Grey,Petrol,Automatic,3.3,45371,87345,Low
X5,2016,Europe,Silver,Petrol,Automatic,4.7,182118,64095,Low
X6,2018,Europe,Silver,Hybrid,Manual,1.7,10316,117764,Low
X5,2017,South America,Red,Petrol,Automatic,4.3,169491,40275,High
X6,2010,Africa,Silver,Petrol,Manual,1.7,176650,33796,Low
7 Series,2021,South America,Blue,Petrol,Automatic,1.9,68969,111071,Low
X6,2017,South America,Red,Hybrid,Manual,1.9,111235,39627,Low
M5,2017,Asia,Blue,Diesel,Manual,5.0,51891,103316,Low
i3,2024,South America,White,Hybrid,Automatic,2.1,197241,106619,Low
i3,2020,South America,Grey,Hybrid,Automatic,4.6,47754,36666,Low
M5,2012,Europe,Black,Electric,Manual,5.0,86899,56202,Low
M5,2010,South America,White,Diesel,Manual,2.8,121393,108152,High
i3,2017,North America,Silver,Hybrid,Manual,3.7,70038,102447,Low
X5,2012,North America,White,Petrol,Automatic,4.2,172752,85983,Low
i3,2012,Africa,Blue,Petrol,Automatic,2.9,93629,99958,High
3 Series,2010,Asia,Black,Petrol,Manual,2.1,107572,86660,High
3 Series,2020,North America,Silver,Hybrid,Automatic,3.0,158046,78509,High
X6,2014,Middle East,Black,Electric,Automatic,4.2,3374,84798,Low
5 Series,2019,South America,Red,Hybrid,Manual,4.2,132625,88464,Low
i3,2016,North America,Black,Petrol,Manual,2.3,91458,33185,High
M5,2019,Europe,Red,Hybrid,Automatic,2.1,252,66606,Low
7 Series,2018,Middle East,Black,Electric,Automatic,4.7,38502,85604,Low
M3,2021,North America,Grey,Diesel,Manual,1.7,54226,116198,High
X1,2016,Africa,Grey,Petrol,Manual,4.1,172950,119996,High
3 Series,2018,Asia,White,Hybrid,Automatic,1.7,19899,50651,High
7 Series,2017,Europe,White,Petrol,Manual,4.4,185687,106473,High
X1,2021,Africa,Red,Hybrid,Automatic,4.7,190652,41920,Low
5 Series,2011,Europe,Black,Diesel,Automatic,2.5,116859,103384,High
5 Series,2010,Europe,Red,Petrol,Manual,1.8,194101,34120,Low
5 Series,2016,Europe,Silver,Petrol,Manual,3.2,167770,119412,High
X3,2016,South America,Blue,Diesel,Manual,2.5,143519,34749,High
M5,2023,Asia,Red,Electric,Manual,3.0,130509,94884,High
3 Series,2017,Europe,Grey,Petrol,Manual,3.8,89365,86684,High
X3,2014,Middle East,Black,Petrol,Manual,2.2,80167,60899,High
5 Series,2012,Asia,Red,Diesel,Automatic,2.7,124260,39501,Low
7 Series,2021,Europe,Black,Diesel,Automatic,4.2,83191,60731,Low
i8,2017,Middle East,Grey,Petrol,Manual,3.8,110899,71690,Low
i3,2015,Middle East,Red,Diesel,Manual,2.6,67021,58894,Low
3 Series,2020,South America,Black,Electric,Automatic,3.8,55451,79774,Low
7 Series,2012,North America,Silver,Hybrid,Automatic,4.2,178603,42764,High
i3,2010,Africa,Blue,Petrol,Manual,3.6,91061,45834,High
X3,2012,North America,White,Diesel,Automatic,2.3,121703,116468,High
M5,2014,Africa,Red,Petrol,Manual,1.5,88800,59448,Low
3 Series,2024,Africa,Grey,Electric,Manual,4.3,69653,113482,Low
X5,2023,South America,Black,Diesel,Manual,4.4,183143,86846,Low
X1,2012,Europe,Silver,Electric,Manual,3.9,63716,74494,Low
i3,2010,Africa,Blue,Diesel,Manual,1.8,120482,101137,Low
X1,2014,South America,Blue,Hybrid,Automatic,3.5,148268,109617,High
3 Series,2019,Africa,Silver,Electric,Manual,4.4,33051,108637,Low
M5,2016,Asia,Silver,Diesel,Automatic,2.9,163812,88181,Low
3 Series,2024,South America,Blue,Hybrid,Automatic,2.2,69698,79650,Low
X3,2023,South America,White,Petrol,Automatic,3.6,156141,51627,Low
X5,2016,North America,Silver,Hybrid,Automatic,4.4,118309,99967,High
X6,2020,Europe,Silver,Diesel,Automatic,1.7,64180,32120,High
i3,2018,Asia,Blue,Hybrid,Manual,3.6,198246,91547,High
X1,2024,Asia,Grey,Hybrid,Automatic,3.8,198285,102818,Low
5 Series,2024,Middle East,Grey,Petrol,Manual,3.6,120789,49279,High
5 Series,2019,Middle East,Black,Petrol,Automatic,3.8,178723,36571,High
i8,2019,Middle East,Silver,Diesel,Manual,3.7,124371,96066,High
X3,2021,Europe,Blue,Hybrid,Manual,2.0,126258,32119,Low
7 Series,2022,Middle East,Blue,Diesel,Automatic,2.3,126953,57691,Low
3 Series,2012,South America,Blue,Petrol,Manual,3.7,78678,96429,Low
X1,2024,Middle East,Grey,Electric,Manual,1.6,190540,112644,Low
X1,2016,Africa,Red,Petrol,Automatic,3.7,70187,49010,Low
X5,2010,Asia,White,Petrol,Automatic,3.8,35565,39793,Low
3 Series,2013,South America,Black,Electric,Automatic,2.3,173100,101189,Low
3 Series,2022,South America,Red,Electric,Automatic,3.6,68978,107968,Low
i3,2013,Asia,Black,Petrol,Automatic,3.4,115144,51327,High
3 Series,2023,Asia,Grey,Diesel,Manual,2.4,58991,84635,Low
X1,2014,Europe,Blue,Hybrid,Manual,3.1,48040,77484,High
3 Series,2016,Europe,White,Electric,Automatic,4.7,149253,71328,Low
X5,2016,Africa,White,Electric,Manual,3.0,146541,72024,High
X5,2022,Africa,White,Electric,Automatic,3.7,123227,72436,Low
i3,2024,Middle East,Blue,Diesel,Manual,1.6,17798,93997,Low
5 Series,2020,South America,Blue,Electric,Manual,1.8,18642,53862,Low
